REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
1970-01-01 00:00:00.020231027,1,26133,0.0,0,0,0,0,Osceola,-85.32556471,43.98998373,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
1970-01-01 00:00:00.020231012,1,37061,1.0,0,0,0,0,Duplin,-77.93295681,34.93627171,S,Middle America,orange,Raleigh,#1f77b4,Traditional
1970-01-01 00:00:00.020231016,1,45039,0.0,0,0,0,0,Fairfield,-81.12125577,34.39533447,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020230824,1,12003,0.0,0,0,0,0,Baker,-82.28452499,30.3309289,S,Growth Management,green,Jacksonville,#1f77b4,Reform
1970-01-01 00:00:00.020231014,1,37063,0.0,0,0,0,0,Durham,-78.87606872,36.03605321,S,Middle America,orange,Raleigh,#1f77b4,Traditional
1970-01-01 00:00:00.020231019,1,37071,0.0,0,0,0,0,Gaston,-81.18014844,35.29432138,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020230901,1,28049,-1.0,0,0,0,0,Hinds,-90.44251629,32.26628404,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
1970-01-01 00:00:00.020230623,1,26025,0.0,0,0,0,0,Calhoun,-85.00508394,42.24636617,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
1970-01-01 00:00:00.020230912,1,40109,2.0,0,0,0,0,Oklahoma,-97.4075036,35.55141319,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020230923,1,16053,-1.0,0,0,0,0,Jerome,-114.2642648,42.68974614,W,High Density,orange,Salt Lake City,#d62728,Traditional
1970-01-01 00:00:00.020230922,1,45007,-3.0,0,0,0,0,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020230617,1,6059,-3.0,0,0,0,0,Orange,-117.760976,33.70311134,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020230809,1,6085,0.0,0,0,0,0,Santa Clara,-121.6951016,37.23169965,W,Growth Control,green,San Francisco,#d62728,Reform
1970-01-01 00:00:00.020230708,1,6023,-1.0,0,0,0,0,Humboldt,-123.8755258,40.69940115,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020230913,2,5143,2.0,0,0,0,1,Washington,-94.21571712,35.97899668,MW,Middle America,orange,Kansas City (MO),#f7b6d2,Traditional
1970-01-01 00:00:00.020230906,1,40025,-1.0,0,0,0,0,Cimarron,-102.5178111,36.74826632,W,Growth Control,green,Denver,#d62728,Reform
