,year,county,cnt
1150,2006,31111,3
1151,2006,31119,5
1152,2006,31121,1
1153,2006,31123,1
1154,2006,31125,1
1155,2006,31129,1
1156,2006,31131,3
1157,2006,31137,1
1158,2006,31141,5
1159,2006,31143,1
1160,2006,31149,1
1161,2006,31153,2
1162,2006,31157,2
1163,2006,31161,1
1164,2006,31165,2
1165,2006,31169,2
1166,2006,31171,1
1167,2006,31173,1
1168,2006,31177,2
1169,2006,31179,1
1170,2006,31185,5
1171,2006,32001,6
1172,2006,32003,15
1173,2006,32005,1
1174,2006,32007,4
1175,2006,32011,1
1176,2006,32013,2
1177,2006,32015,1
1178,2006,32017,2
1179,2006,32021,1
1180,2006,32023,6
1181,2006,32027,2
1182,2006,32031,5
1183,2006,32033,1
1184,2006,33005,2
1185,2006,33007,5
1186,2006,33009,3
1187,2006,33011,8
1188,2006,33013,5
1189,2006,33015,15
1190,2006,33017,2
1191,2006,34001,4
1192,2006,34003,13
1193,2006,34005,10
1194,2006,34007,5
1195,2006,34011,2
1196,2006,34013,5
1197,2006,34015,4
1198,2006,34017,11
1199,2006,34019,8
1200,2006,34021,6
1201,2006,34023,12
1202,2006,34025,5
1203,2006,34027,3
1204,2006,34029,1
1205,2006,34031,3
1206,2006,34033,5
1207,2006,34037,3
1208,2006,34039,10
1209,2006,34041,6
1210,2006,35001,5
1211,2006,35005,1
1212,2006,35006,4
1213,2006,35007,4
1214,2006,35009,4
1215,2006,35013,5
1216,2006,35015,4
1217,2006,35019,3
1218,2006,35023,3
1219,2006,35025,5
1220,2006,35029,1
1221,2006,35031,4
1222,2006,35035,5
1223,2006,35037,5
1224,2006,35043,1
1225,2006,35045,6
1226,2006,35047,2
1227,2006,35049,2
1228,2006,35051,1
1229,2006,35053,2
1230,2006,35057,4
1231,2006,35059,1
1232,2006,36001,3
1233,2006,36003,1
1234,2006,36007,4
1235,2006,36009,5
1236,2006,36011,3
1237,2006,36013,3
1238,2006,36015,3
1239,2006,36017,2
1240,2006,36019,6
1241,2006,36021,3
1242,2006,36023,3
1243,2006,36025,1
1244,2006,36029,7
1245,2006,36031,2
1246,2006,36033,5
1247,2006,36035,1
1248,2006,36037,9
1249,2006,36039,2
1250,2006,36043,2
1251,2006,36045,4
1252,2006,36051,4
1253,2006,36053,3
1254,2006,36055,3
1255,2006,36057,4
1256,2006,36063,2
1257,2006,36065,5
1258,2006,36067,6
1259,2006,36069,4
1260,2006,36071,5
1261,2006,36075,5
1262,2006,36077,3
1263,2006,36081,3
1264,2006,36089,2
1265,2006,36091,5
1266,2006,36093,3
1267,2006,36097,1
1268,2006,36099,3
1269,2006,36101,1
1270,2006,36103,1
1271,2006,36105,2
1272,2006,36107,4
1273,2006,36111,1
1274,2006,36113,5
1275,2006,36115,1
1276,2006,36117,3
1277,2006,36119,1
1278,2006,37001,8
1279,2006,37011,1
1280,2006,37013,2
1281,2006,37019,1
1282,2006,37021,5
1283,2006,37023,2
1284,2006,37025,4
1285,2006,37027,1
1286,2006,37031,1
1287,2006,37035,5
1288,2006,37037,1
1289,2006,37039,2
1290,2006,37045,3
1291,2006,37047,5
1292,2006,37049,3
1293,2006,37051,4
1294,2006,37057,4
1295,2006,37059,1
1296,2006,37061,3
1297,2006,37063,3
1298,2006,37065,2
1299,2006,37067,1
1300,2006,37069,1
1301,2006,37071,1
1302,2006,37077,2
1303,2006,37081,8
1304,2006,37085,1
1305,2006,37087,3
1306,2006,37089,1
1307,2006,37091,1
1308,2006,37093,1
1309,2006,37097,7
1310,2006,37101,6
1311,2006,37105,2
1312,2006,37107,3
1313,2006,37111,6
1314,2006,37117,2
1315,2006,37119,6
1316,2006,37123,4
1317,2006,37125,2
1318,2006,37127,3
1319,2006,37129,5
1320,2006,37131,1
1321,2006,37133,3
1322,2006,37139,2
1323,2006,37141,1
1324,2006,37147,5
1325,2006,37149,1
1326,2006,37151,9
1327,2006,37153,2
1328,2006,37155,9
1329,2006,37157,1
1330,2006,37159,2
1331,2006,37161,1
1332,2006,37163,5
1333,2006,37165,2
1334,2006,37167,1
1335,2006,37171,2
1336,2006,37179,6
1337,2006,37181,1
1338,2006,37183,10
1339,2006,37185,1
1340,2006,37187,3
1341,2006,37191,3
1342,2006,37193,2
1343,2006,37195,3
1344,2006,37197,3
1345,2006,37199,1
1346,2006,38003,1
1347,2006,38007,1
1348,2006,38015,4
1349,2006,38017,7
1350,2006,38031,1
1351,2006,38033,1
1352,2006,38035,4
1353,2006,38043,1
1354,2006,38045,2
1355,2006,38049,1
1356,2006,38059,2
1357,2006,38067,2
