,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016
390,13303,0.0,0.0,0.0,0.0,-1.0
391,13305,0.0,0.0,0.0,0.0,0.0
392,13309,0.0,0.0,0.0,0.0,1.0
393,13311,0.0,0.0,0.0,0.0,0.0
394,13313,0.0,0.0,-1.0,0.0,-1.0
395,13317,-1.0,0.0,0.0,0.0,-1.0
396,13321,0.0,0.0,0.0,0.0,0.0
397,16001,0.0,0.0,0.0,0.0,0.0
398,16003,0.0,0.0,0.0,0.0,0.0
399,16005,0.0,-1.0,-1.0,1.0,-2.0
400,16007,0.0,-1.0,0.0,0.0,0.0
401,16009,0.0,0.0,0.0,0.0,-1.0
402,16011,0.0,0.0,-1.0,1.0,2.0
403,16017,0.0,0.0,0.0,0.0,0.0
404,16019,1.0,0.0,0.0,0.0,1.0
405,16021,0.0,0.0,0.0,1.0,0.0
406,16023,0.0,0.0,0.0,0.0,1.0
407,16027,0.0,0.0,0.0,1.0,1.0
408,16029,-1.0,0.0,0.0,0.0,-1.0
409,16031,0.0,0.0,0.0,-1.0,-1.0
410,16033,0.0,-1.0,0.0,0.0,-1.0
411,16035,0.0,0.0,0.0,0.0,0.0
412,16039,0.0,-1.0,1.0,-1.0,-1.0
413,16047,0.0,0.0,0.0,0.0,1.0
414,16049,-1.0,0.0,0.0,0.0,0.0
415,16051,0.0,0.0,0.0,0.0,0.0
416,16053,0.0,0.0,0.0,0.0,-1.0
417,16055,0.0,0.0,0.0,-1.0,0.0
418,16059,0.0,0.0,0.0,0.0,0.0
419,16067,1.0,0.0,0.0,0.0,0.0
420,16069,0.0,0.0,0.0,0.0,0.0
421,16073,0.0,0.0,0.0,0.0,0.0
422,16079,0.0,0.0,0.0,0.0,-1.0
423,16083,0.0,0.0,1.0,-1.0,-1.0
424,17001,-1.0,0.0,0.0,0.0,-1.0
425,17005,0.0,0.0,0.0,0.0,1.0
426,17007,0.0,0.0,-1.0,0.0,-1.0
427,17009,0.0,0.0,0.0,0.0,0.0
428,17011,0.0,0.0,0.0,0.0,1.0
429,17017,0.0,0.0,0.0,0.0,0.0
430,17019,0.0,0.0,0.0,-2.0,-1.0
431,17023,0.0,0.0,0.0,1.0,2.0
432,17025,0.0,0.0,0.0,-1.0,0.0
433,17027,0.0,0.0,0.0,0.0,0.0
434,17031,0.0,0.0,1.0,0.0,5.0
435,17033,0.0,0.0,0.0,0.0,1.0
436,17035,0.0,0.0,0.0,0.0,-1.0
437,17037,0.0,0.0,0.0,0.0,0.0
438,17039,0.0,0.0,0.0,0.0,1.0
439,17041,0.0,0.0,0.0,1.0,0.0
440,17043,-1.0,0.0,0.0,2.0,4.0
441,17049,-1.0,0.0,0.0,0.0,-1.0
442,17051,0.0,0.0,0.0,0.0,1.0
443,17055,0.0,0.0,0.0,0.0,-1.0
444,17063,0.0,0.0,1.0,1.0,2.0
445,17073,1.0,0.0,0.0,0.0,2.0
446,17075,0.0,0.0,0.0,1.0,1.0
447,17081,0.0,0.0,0.0,0.0,0.0
448,17085,0.0,0.0,0.0,0.0,2.0
449,17087,0.0,0.0,0.0,0.0,-1.0
450,17089,0.0,0.0,0.0,0.0,-2.0
451,17091,0.0,0.0,0.0,1.0,3.0
452,17093,0.0,-1.0,-1.0,0.0,0.0
453,17095,0.0,0.0,0.0,0.0,0.0
454,17097,0.0,0.0,0.0,0.0,2.0
455,17099,-2.0,1.0,1.0,2.0,2.0
456,17103,0.0,0.0,0.0,0.0,0.0
457,17105,0.0,0.0,0.0,0.0,2.0
458,17107,0.0,0.0,0.0,1.0,0.0
459,17109,0.0,0.0,0.0,0.0,-1.0
460,17113,0.0,0.0,-1.0,1.0,2.0
461,17115,-1.0,1.0,0.0,0.0,-1.0
462,17119,0.0,0.0,0.0,1.0,1.0
463,17125,0.0,0.0,0.0,0.0,0.0
464,17127,0.0,0.0,0.0,0.0,-1.0
465,17135,0.0,0.0,0.0,0.0,0.0
466,17137,0.0,-1.0,0.0,0.0,-1.0
467,17141,0.0,0.0,0.0,0.0,1.0
468,17143,0.0,0.0,0.0,0.0,0.0
469,17147,0.0,0.0,0.0,-1.0,0.0
470,17149,0.0,0.0,0.0,0.0,0.0
471,17153,0.0,0.0,0.0,0.0,0.0
472,17155,0.0,0.0,0.0,1.0,1.0
473,17159,0.0,0.0,0.0,0.0,0.0
474,17161,0.0,0.0,0.0,0.0,-1.0
475,17163,1.0,0.0,0.0,1.0,0.0
476,17165,0.0,0.0,0.0,1.0,1.0
477,17167,0.0,0.0,0.0,0.0,0.0
478,17169,-1.0,0.0,0.0,0.0,-1.0
479,17171,0.0,0.0,0.0,0.0,-1.0
480,17177,0.0,0.0,0.0,0.0,0.0
481,17179,0.0,0.0,0.0,-1.0,-1.0
482,17183,1.0,0.0,0.0,0.0,0.0
483,17187,0.0,0.0,0.0,0.0,-1.0
484,17189,0.0,0.0,0.0,0.0,0.0
485,17193,0.0,0.0,0.0,0.0,0.0
486,17195,-1.0,-1.0,0.0,0.0,-2.0
487,17197,0.0,-1.0,1.0,3.0,5.0
488,17199,0.0,0.0,0.0,1.0,1.0
489,17201,0.0,-1.0,0.0,0.0,-1.0
490,17203,0.0,0.0,0.0,1.0,1.0
491,18001,0.0,0.0,0.0,0.0,0.0
492,18003,0.0,-1.0,0.0,1.0,1.0
493,18005,0.0,0.0,0.0,0.0,0.0
494,18007,0.0,0.0,0.0,0.0,0.0
495,18011,0.0,0.0,0.0,0.0,1.0
496,18017,0.0,0.0,0.0,0.0,0.0
497,18019,0.0,0.0,0.0,1.0,1.0
498,18021,0.0,0.0,0.0,0.0,0.0
499,18023,0.0,0.0,0.0,0.0,0.0
500,18025,0.0,-1.0,0.0,0.0,0.0
501,18027,0.0,0.0,0.0,0.0,0.0
502,18029,0.0,0.0,0.0,0.0,0.0
503,18031,0.0,0.0,0.0,0.0,1.0
504,18033,0.0,0.0,0.0,0.0,0.0
505,18035,0.0,0.0,0.0,0.0,1.0
506,18037,0.0,0.0,0.0,0.0,0.0
507,18039,0.0,0.0,1.0,0.0,1.0
508,18043,0.0,0.0,0.0,0.0,0.0
509,18045,0.0,0.0,0.0,0.0,0.0
510,18049,0.0,0.0,0.0,0.0,0.0
511,18051,0.0,0.0,0.0,0.0,-1.0
512,18053,0.0,-1.0,0.0,0.0,1.0
513,18055,0.0,0.0,0.0,0.0,0.0
514,18059,0.0,0.0,0.0,0.0,0.0
515,18063,0.0,-1.0,0.0,-1.0,-1.0
516,18065,0.0,0.0,0.0,0.0,2.0
517,18067,-1.0,0.0,0.0,0.0,-1.0
518,18069,0.0,0.0,0.0,0.0,-1.0
519,18071,0.0,0.0,0.0,0.0,-1.0
520,18073,-1.0,0.0,0.0,0.0,0.0
521,18075,0.0,0.0,0.0,0.0,0.0
522,18077,0.0,0.0,0.0,0.0,-1.0
523,18081,-1.0,0.0,0.0,0.0,-1.0
524,18083,0.0,0.0,0.0,1.0,2.0
525,18085,0.0,0.0,0.0,1.0,1.0
526,18087,0.0,0.0,0.0,0.0,1.0
527,18089,0.0,0.0,0.0,0.0,0.0
528,18091,0.0,-1.0,1.0,1.0,1.0
529,18093,0.0,0.0,-1.0,0.0,0.0
530,18095,0.0,0.0,0.0,1.0,2.0
531,18097,0.0,0.0,0.0,0.0,0.0
532,18099,0.0,0.0,0.0,0.0,0.0
533,18101,0.0,0.0,0.0,0.0,0.0
534,18103,0.0,0.0,0.0,0.0,0.0
535,18105,0.0,0.0,0.0,0.0,0.0
536,18107,0.0,0.0,0.0,0.0,-1.0
